Date,Volume
2014-11-19,6830710.0
2014-11-18,10387062.0
2014-11-17,8575645.0
2014-11-14,4082879.0
2014-11-13,3182816.0
2014-11-12,4629393.0
2014-11-11,3819301.0
2014-11-10,3662160.0
2014-11-07,3429560.0
2014-11-06,4016028.0
2014-11-05,5002514.0
2014-11-04,5349563.0
2014-11-03,7614158.0
2014-10-31,6336392.0
2014-10-30,4114578.0
2014-10-29,4275440.0
2014-10-28,5261206.0
2014-10-27,4465121.0
2014-10-24,4825237.0
2014-10-23,5926297.0
2014-10-22,5912508.0
2014-10-21,6610844.0
2014-10-20,5614477.0
2014-10-17,7013765.0
2014-10-16,7147594.0
2014-10-15,12993637.0
2014-10-14,9711348.0
2014-10-13,7378868.0
2014-10-10,6349941.0
2014-10-09,6674794.0
2014-10-08,6619266.0
2014-10-07,5030738.0
2014-10-06,4952151.0
2014-10-03,6200290.0
2014-10-02,5991202.0
2014-10-01,5970715.0
2014-09-30,6774201.0
2014-09-29,3894623.0
2014-09-26,4572090.0
2014-09-25,4934711.0
2014-09-24,6379689.0
2014-09-23,5821024.0
2014-09-22,5206670.0
2014-09-19,12498800.0
2014-09-18,6025100.0
2014-09-17,7068800.0
2014-09-16,5045100.0
2014-09-15,3935000.0
2014-09-12,4593700.0
2014-09-11,4537800.0
2014-09-10,6245400.0
2014-09-09,8103000.0
2014-09-08,4885900.0
2014-09-05,7746400.0
2014-09-04,8452200.0
2014-09-03,15410400.0
2014-09-02,20753200.0
2014-08-29,7672200.0
2014-08-28,7575700.0
2014-08-27,4320200.0
2014-08-26,5396400.0
2014-08-25,7328700.0
2014-08-22,6939200.0
2014-08-21,8315900.0
2014-08-20,13394200.0
2014-08-19,18244600.0
2014-08-18,9475300.0
2014-08-15,5383500.0
2014-08-14,4923000.0
2014-08-13,4498700.0
2014-08-12,3657100.0
2014-08-11,3952000.0
2014-08-08,7226500.0
2014-08-07,4045900.0
2014-08-06,4228200.0
2014-08-05,5895500.0
2014-08-04,7025000.0
2014-08-01,8708000.0
2014-07-31,5748900.0
2014-07-30,5807300.0
2014-07-29,4536500.0
2014-07-28,3441600.0
2014-07-25,4680100.0
2014-07-24,4359600.0
2014-07-23,3669200.0
2014-07-22,6336100.0
2014-07-21,4112800.0
2014-07-18,5323200.0
2014-07-17,7697647.0
2014-07-16,9033700.0
2014-07-15,6051900.0
2014-07-14,7657200.0
2014-07-11,4746400.0
2014-07-10,11530900.0
2014-07-09,6980600.0
2014-07-08,7322900.0
2014-07-07,6071000.0
2014-07-03,2764000.0
2014-07-02,4185700.0
2014-07-01,5234600.0
2014-06-30,5045300.0
2014-06-27,5011000.0
2014-06-26,5165200.0
2014-06-25,4486300.0
2014-06-24,5579300.0
2014-06-23,4920400.0
2014-06-20,13661000.0
2014-06-19,5095400.0
2014-06-18,8071500.0
2014-06-17,9587300.0
2014-06-16,7164400.0
2014-06-13,7971800.0
2014-06-12,7643300.0
