Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-06-20,158.73,159.2242,157.6,157.67,4201226.0,0.0,1.0,145.1131221018404,145.56492645478394,144.08006075253604,144.1440557033779,4201226.0
2017-06-19,156.91,159.03,156.39,158.81,5195484.0,0.0,1.0,143.44925337995195,145.38738617687693,142.97386231655526,145.1862591885168,5195484.0
2017-06-16,156.25,156.69,155.41,156.64,9105408.0,0.0,1.0,142.84587241487154,143.24812639159182,142.0779330047692,143.20241571241905,9105408.0
2017-06-15,156.13,157.27,154.92,156.77,3972260.0,0.0,1.0,142.73616678485692,143.77837026999583,141.62996834887616,143.32126347826824,3972260.0
2017-06-14,154.5,157.28,153.96,156.76,5999411.0,0.0,1.0,141.24599864382498,143.78751240583037,140.7523233087592,143.31212134243367,5999411.0
2017-06-13,152.31,154.04,152.06,153.99,3753767.0,0.0,1.0,139.24387089605816,140.82546039543558,139.01531750019436,140.77974971626284,3753767.0
2017-06-12,152.8,153.3,151.73,152.18,4473919.0,0.0,1.0,139.6918355519512,140.14894234367878,138.71362701765412,139.12502313020897,4473919.0
2017-06-09,154.0,154.0,152.78,152.96,4705349.0,0.0,1.0,140.7888918520974,140.7888918520974,139.67355128028208,139.838109725304,4705349.0
2017-06-08,155.16,155.2335,153.3801,153.5,4041556.0,0.0,1.0,141.8493796089054,141.91657430728935,140.22217085171354,140.3317850603698,4041556.0
2017-06-07,154.69,155.3,154.35,154.96,3158964.0,0.0,1.0,141.41969922468147,141.97736951058914,141.1088666063067,141.66653689221437,3158964.0
2017-06-06,154.44,154.66,153.65,154.2,3260265.0,0.0,1.0,141.19114582881767,141.3922728171778,140.4689170978881,140.97173456878843,3260265.0
2017-06-05,155.53,155.62,154.23,154.79,2651789.0,0.0,1.0,142.1876386347838,142.2699178572948,140.99916097629207,141.51112058302698,2651789.0
2017-06-02,154.79,155.86,154.42,155.35,3485310.0,0.0,1.0,141.51112058302698,142.48932911732405,141.17286155714856,142.02308018976188,3485310.0
2017-06-01,153.52,155.16,152.74,155.15,3384233.0,0.0,1.0,140.3500693320389,141.8493796089054,139.63698273694388,141.84023747307086,3384233.0
2017-05-31,154.36,154.38,153.28,153.51,7158383.0,0.0,1.0,141.11800874214128,141.13629301381036,140.13065807200968,140.34092719620435,7158383.0
2017-05-30,154.0,154.56,153.52,153.88,3504291.0,0.89,1.0,140.7888918520974,141.30085145883228,140.3500693320389,140.67918622208276,3504291.0
2017-05-26,156.1,156.42,154.64,154.9,4284660.0,0.0,1.0,141.8880982701242,142.1789643267958,140.56102188655993,140.79735055760563,4284660.0
2017-05-25,156.2,156.69,155.35,156.46,3110736.0,0.0,1.0,141.97899391283408,142.4243825621125,141.2063809498001,142.21532258387978,3110736.0
